"","pid","date","condition","tstamp","uid","opens","consumetime","newtweets","compose","reply","likes","retweet","follow","unfollow","statPageView","dialogExit","dialogIgnore","avgAttentionScore","logAtnScore","consumetimeHours"
"1","pilot01","4/26","3",1619473694829006,"adabb1342dd9891f94faa812ef48c497",3,19,19,0,0,0,0,0,0,0,0,0,4,1.38629436111989,0.00527777777777778
"2","pilot01","4/26","3",1619463480387063,"1609b2a8202412e2112a1c560bdb12b0",8,640,19,0,0,0,0,0,0,1,0,0,4,1.38629436111989,0.177777777777778
"3","pilot02","05/09","2",1620591016111039,"8f25811dbb036da11d7a22d69dc2cb00",7,811,8,1,1,7,1,1,0,NA,1,NA,5,1.6094379124341,0.225277777777778
"4","pilot02","05/11","1",1.62079e+15,"8f25811dbb036da11d7a22d69dc2cb00",5,1098,19,0,2,0,0,0,0,6,0,0,5,1.6094379124341,0.305
"5","pilot02","05/17","0",1621316138136024,"8f25811dbb036da11d7a22d69dc2cb00",2,720,11,0,0,0,2,0,0,NA,NA,NA,3,1.09861228866811,0.2
"6","pilot02","05/17","1",1621284344796001,"8f25811dbb036da11d7a22d69dc2cb00",2,656,7,0,0,1,2,0,0,0,0,0,5,1.6094379124341,0.182222222222222
"7","pilot02","05/18","0",1621399749895024,"8f25811dbb036da11d7a22d69dc2cb00",3,525,8,0,0,0,0,0,0,NA,NA,NA,5,1.6094379124341,0.145833333333333
"8","pilot02","4/29","3",1619739994908085,"8f25811dbb036da11d7a22d69dc2cb00",6,2335,21,0,0,20,0,12,0,1,0,1,3.5,1.25276296849537,0.648611111111111
"9","pilot02","4/30","3",1619813876493062,"8f25811dbb036da11d7a22d69dc2cb00",5,1120,21,1,1,20,0,12,0,1,1,1,5,1.6094379124341,0.311111111111111
"10","pilot03","05/01","3",1619875344960063,"690bbbd4d2323faf5f29abe6664c3368",3,291,6,0,0,0,0,0,0,0,0,0,1,0,0.0808333333333333
"11","pilot03","05/11","1",1620793643087013,"690bbbd4d2323faf5f29abe6664c3368",2,226,11,0,0,0,0,0,0,3,0,0,2,0.693147180559945,0.0627777777777778
"12","pilot03","05/16","1",1621223182858031,"690bbbd4d2323faf5f29abe6664c3368",6,471,13,0,0,0,0,0,0,0,0,0,1,0,0.130833333333333
"13","pilot04","05/01","3",1619925843780048,"dad92316e8a7f99e68581ed055e0e4dc",10,1099,276,0,0,9,1,0,0,0,1,1,3,1.09861228866811,0.305277777777778
"14","pilot04","05/02","3",1620004096150092,"dad92316e8a7f99e68581ed055e0e4dc",5,317,244,0,0,9,1,0,0,1,1,1,3,1.09861228866811,0.0880555555555556
"15","pilot04","05/04","2",1620179414145012,"dad92316e8a7f99e68581ed055e0e4dc",5,216,133,0,0,1,0,0,0,NA,NA,NA,3,1.09861228866811,0.06
"16","pilot04","05/05","2",1620250615382064,"dad92316e8a7f99e68581ed055e0e4dc",3,515,132,0,0,3,0,0,0,NA,NA,NA,2,0.693147180559945,0.143055555555556
"17","pilot04","05/07","2",1620444111752026,"dad92316e8a7f99e68581ed055e0e4dc",7,459,233,0,0,4,0,0,0,NA,NA,NA,3,1.09861228866811,0.1275
"18","pilot04","05/08","2",1620537941034043,"dad92316e8a7f99e68581ed055e0e4dc",2,399,233,0,0,4,0,0,0,NA,NA,NA,2,0.693147180559945,0.110833333333333
"19","pilot04","05/09","2",1620613740464008,"dad92316e8a7f99e68581ed055e0e4dc",3,247,131,0,0,2,0,0,0,NA,NA,NA,3,1.09861228866811,0.0686111111111111
"20","pilot04","05/12","1",1620875916627061,"dad92316e8a7f99e68581ed055e0e4dc",29,1381,74,0,1,0,0,0,0,1,1,3,4,1.38629436111989,0.383611111111111
"21","pilot04","05/13","1",1620962552691026,"dad92316e8a7f99e68581ed055e0e4dc",11,459,47,0,0,1,0,0,0,2,1,1,2,0.693147180559945,0.1275
"22","pilot04","05/16","1",1621222160298089,"dad92316e8a7f99e68581ed055e0e4dc",9,515,21,0,0,1,0,0,0,2,0,0,3,1.09861228866811,0.143055555555556
"23","pilot04","05/17","1",1.62129e+15,"dad92316e8a7f99e68581ed055e0e4dc",5,490,21,0,0,1,0,0,0,2,0,0,3,1.09861228866811,0.136111111111111
"24","pilot04","05/18","0",1621378582005064,"dad92316e8a7f99e68581ed055e0e4dc",6,322,30,0,0,1,1,0,0,NA,NA,NA,2,0.693147180559945,0.0894444444444444
"25","pilot04","05/19","0",1621471628145039,"dad92316e8a7f99e68581ed055e0e4dc",8,371,26,0,0,1,1,0,0,NA,NA,NA,3,1.09861228866811,0.103055555555556
"26","pilot04","05/20","0",1621549659295017,"dad92316e8a7f99e68581ed055e0e4dc",6,257,26,0,0,1,0,1,0,NA,NA,NA,2,0.693147180559945,0.0713888888888889
"27","pilot04","05/21","0",1621654329730004,"dad92316e8a7f99e68581ed055e0e4dc",8,337,21,0,0,0,0,0,0,NA,NA,NA,2,0.693147180559945,0.0936111111111111
"28","pilot04","4/26","3",1619485435927035,"dad92316e8a7f99e68581ed055e0e4dc",19,2168,28,0,0,0,0,0,0,3,2,1,2,0.693147180559945,0.602222222222222
"29","pilot04","4/28","3",1619671431442085,"dad92316e8a7f99e68581ed055e0e4dc",4,1203,74,0,0,17,3,0,0,3,0,0,1,0,0.334166666666667
"30","pilot04","4/30","3",1619837587022009,"dad92316e8a7f99e68581ed055e0e4dc",22,877,276,0,0,12,2,1,1,7,2,4,3,1.09861228866811,0.243611111111111
"31","pilot05","05/01","3",1619927471605115,"f863e8fc567a0382572d3cf01a6a05d4",29,3740,305,0,0,0,0,0,0,1,0,11,1,0,1.03888888888889
"32","pilot05","05/02","3",1620017349353058,"f863e8fc567a0382572d3cf01a6a05d4",16,3042,305,0,0,0,0,0,0,1,0,11,1.2,0.182321556793955,0.845
"33","pilot05","05/04","2",1.62019e+15,"f863e8fc567a0382572d3cf01a6a05d4",7,2406,294,0,0,0,0,0,0,1,NA,NA,1,0,0.668333333333333
"34","pilot05","05/05","2",1620266212335028,"f863e8fc567a0382572d3cf01a6a05d4",32,2081,315,0,0,0,0,0,0,NA,NA,NA,1.333333333,0.287682072201781,0.578055555555556
"35","pilot05","05/06","2",1.62036e+15,"f863e8fc567a0382572d3cf01a6a05d4",13,2133,315,0,0,0,0,0,0,NA,NA,NA,1,0,0.5925
"36","pilot05","05/07","2",1620442697396266,"f863e8fc567a0382572d3cf01a6a05d4",9,2276,182,0,0,0,0,0,0,NA,NA,NA,2,0.693147180559945,0.632222222222222
"37","pilot05","05/08","2",1620534379893042,"f863e8fc567a0382572d3cf01a6a05d4",16,1404,1712,0,0,0,0,0,0,NA,NA,NA,1,0,0.39
"38","pilot05","05/09","2",1620609763455074,"f863e8fc567a0382572d3cf01a6a05d4",11,2575,192,0,0,0,0,1,0,NA,NA,NA,1.333333333,0.287682072201781,0.715277777777778
"39","pilot05","05/11","1",1620789939166006,"f863e8fc567a0382572d3cf01a6a05d4",8,2548,279,0,0,0,0,0,0,1,0,3,1,0,0.707777777777778
"40","pilot05","05/12","1",1620873569135165,"f863e8fc567a0382572d3cf01a6a05d4",14,2487,306,0,0,0,0,0,0,1,0,3,1,0,0.690833333333333
"41","pilot05","05/13","1",1620969069820056,"f863e8fc567a0382572d3cf01a6a05d4",19,3050,334,0,0,0,0,0,0,1,0,3,1,0,0.847222222222222
"42","pilot05","05/14","1",1621053401627245,"f863e8fc567a0382572d3cf01a6a05d4",11,2189,334,0,0,0,0,0,0,1,0,3,1,0,0.608055555555556
"43","pilot05","05/15","1",1.62114e+15,"f863e8fc567a0382572d3cf01a6a05d4",67,5568,48,0,0,0,0,0,0,1,0,5,1,0,1.54666666666667
"44","pilot05","05/16","1",1621228708263023,"f863e8fc567a0382572d3cf01a6a05d4",92,5284,48,0,0,0,0,0,0,1,0,5,2,0.693147180559945,1.46777777777778
"45","pilot05","05/17","0",1621311488305003,"f863e8fc567a0382572d3cf01a6a05d4",78,3210,32,0,0,0,0,0,0,NA,NA,1,1,0,0.891666666666667
"46","pilot05","05/17","1",1621296664835043,"f863e8fc567a0382572d3cf01a6a05d4",53,1866,20,0,0,0,0,0,0,0,0,1,1,0,0.518333333333333
"47","pilot05","05/18","0",1621406930350016,"f863e8fc567a0382572d3cf01a6a05d4",12,1665,32,0,0,0,0,0,0,NA,NA,1,1,0,0.4625
"48","pilot05","05/19","0",1621491765666024,"f863e8fc567a0382572d3cf01a6a05d4",27,1962,18,0,0,0,0,0,0,NA,NA,NA,1,0,0.545
"49","pilot05","05/20","0",1621572384674115,"f863e8fc567a0382572d3cf01a6a05d4",15,2420,24,0,0,0,0,3,0,NA,NA,NA,1,0,0.672222222222222
"50","pilot05","05/21","0",1621661222267006,"f863e8fc567a0382572d3cf01a6a05d4",36,4023,24,0,0,0,0,3,0,NA,NA,NA,1,0,1.1175
"51","pilot05","05/22","0",1.62174e+15,"f863e8fc567a0382572d3cf01a6a05d4",38,2170,28,0,0,0,0,0,0,NA,NA,NA,1,0,0.602777777777778
