"","X","pid","date","condition","ts","uid","internal","external","feedname","feedname_general","ft","ftah","avgAttentionScore","fthrs","ftmin","ftahhrs","ftahmin","scrolledIntoOld"
"1",1,"p02","05/10",2,1.62067e+15,"8f25811dbb036da11d7a22d69dc2cb00","1",0,"1386779220521672708","list",1,NA,5,0.000277777777777778,0.0166666666666667,NA,NA,"no"
"2",2,"p02","05/10",2,1620674485302004,"8f25811dbb036da11d7a22d69dc2cb00","1",0,"1386779220521672708","list",12,NA,5,0.00333333333333333,0.2,NA,NA,"no"
"3",3,"p02","05/10",2,1620675035739081,"8f25811dbb036da11d7a22d69dc2cb00","1",0,"1386778222537453570","list",1,NA,5,0.000277777777777778,0.0166666666666667,NA,NA,"no"
"4",4,"p02","05/10",2,1620674543496027,"8f25811dbb036da11d7a22d69dc2cb00","1",0,"1386778222537453570","list",1,NA,5,0.000277777777777778,0.0166666666666667,NA,NA,"no"
"5",5,"p02","05/10",2,1620675076656092,"8f25811dbb036da11d7a22d69dc2cb00","1",0,"1386779220521672708","list",10,7,5,0.00277777777777778,0.166666666666667,0.00194444444444444,0.116666666666667,"yes"
"6",6,"p02","05/10",2,1620675226185107,"8f25811dbb036da11d7a22d69dc2cb00","1",0,"1386779220521672708","list",16,2,5,0.00444444444444444,0.266666666666667,0.000555555555555556,0.0333333333333333,"yes"
"7",7,"p02","05/10",2,1620674540003022,"8f25811dbb036da11d7a22d69dc2cb00","1",0,"1386778222537453570","list",3,NA,5,0.000833333333333333,0.05,NA,NA,"no"
"8",8,"p02","05/10",2,1620674496420016,"8f25811dbb036da11d7a22d69dc2cb00","1",0,"1386778222537453570","list",3,NA,5,0.000833333333333333,0.05,NA,NA,"no"
"9",9,"p02","05/10",2,1620675006818074,"8f25811dbb036da11d7a22d69dc2cb00","1",0,"1386778222537453570","list",5,NA,5,0.00138888888888889,0.0833333333333333,NA,NA,"no"
"10",10,"p02","05/10",2,1620675061374084,"8f25811dbb036da11d7a22d69dc2cb00","1",0,"1386778222537453570","list",25,NA,5,0.00694444444444444,0.416666666666667,NA,NA,"no"
"11",11,"p02","05/10",2,1620674492593015,"8f25811dbb036da11d7a22d69dc2cb00","1",0,"1386779220521672708","list",1,NA,5,0.000277777777777778,0.0166666666666667,NA,NA,"no"
"12",12,"p02","05/10",2,1620675093441097,"8f25811dbb036da11d7a22d69dc2cb00","1",0,"1386779220521672708","list",14,NA,5,0.00388888888888889,0.233333333333333,NA,NA,"no"
"13",13,"p02","05/10",2,1620674599080034,"8f25811dbb036da11d7a22d69dc2cb00","1",0,"1386778222537453570","list",0,NA,5,0,0,NA,NA,"no"
"14",14,"p02","05/10",2,1620674951221053,"8f25811dbb036da11d7a22d69dc2cb00","1",0,"1386778222537453570","list",4,NA,5,0.00111111111111111,0.0666666666666667,NA,NA,"no"
"15",15,"p02","05/10",2,1620674999552067,"8f25811dbb036da11d7a22d69dc2cb00","1",0,"1386778222537453570","list",1,NA,5,0.000277777777777778,0.0166666666666667,NA,NA,"no"
"16",16,"p02","05/10",2,1620674544564028,"8f25811dbb036da11d7a22d69dc2cb00","1",0,"1386779220521672708","list",1,NA,5,0.000277777777777778,0.0166666666666667,NA,NA,"no"
"17",17,"p02","05/10",2,1620675381301123,"8f25811dbb036da11d7a22d69dc2cb00","1",0,"1386779220521672708","list",8,3,5,0.00222222222222222,0.133333333333333,0.000833333333333333,0.05,"yes"
"18",18,"p02","05/10",2,1620675065835091,"8f25811dbb036da11d7a22d69dc2cb00","1",0,"1386778222537453570","list",2,NA,5,0.000555555555555556,0.0333333333333333,NA,NA,"no"
"19",19,"p02","05/10",2,1.62067e+15,"8f25811dbb036da11d7a22d69dc2cb00","1",0,"1386778222537453570","list",8,NA,5,0.00222222222222222,0.133333333333333,NA,NA,"no"
